subject,ma_mau,substance,intensity,band,t_center,power
P001,S1_5,Sucrose,5,delta,0.5,6.397272005453021e-10
P001,S1_7,Sucrose,7,delta,0.5,1.593646758450229e-09
P001,H2O,Water,0,delta,0.5,6.362865236398154e-10
P001,S1_12,Sucrose,12,delta,0.5,4.992753305257922e-10
P001,S2_12,Sucralose,12,delta,0.5,8.071781908291522e-10
P001,S2_5,Sucralose,5,delta,0.5,2.6443518426968816e-10
P001,S2_7,Sucralose,7,delta,0.5,4.5278707495528235e-10
P001,S2_5,Sucralose,5,delta,0.5,1.5033725722760419e-09
P001,S2_7,Sucralose,7,delta,0.5,1.7887758483541126e-09
P001,H2O,Water,0,delta,0.5,1.5489430621142877e-09
P001,S2_12,Sucralose,12,delta,0.5,1.035017082911323e-09
P001,S1_12,Sucrose,12,delta,0.5,1.4709115405615256e-09
P001,S1_5,Sucrose,5,delta,0.5,1.4360914476291875e-09
P001,S1_7,Sucrose,7,delta,0.5,7.864924158510129e-10
P001,S1_5,Sucrose,5,theta,0.5,3.319775020468967e-10
P001,S1_7,Sucrose,7,theta,0.5,2.1793423169090163e-10
P001,H2O,Water,0,theta,0.5,1.5350861423654738e-10
P001,S1_12,Sucrose,12,theta,0.5,1.0205950521674318e-10
P001,S2_12,Sucralose,12,theta,0.5,7.828535885055064e-10
P001,S2_5,Sucralose,5,theta,0.5,2.4768596298827883e-10
P001,S2_7,Sucralose,7,theta,0.5,5.417179114732419e-10
P001,S2_5,Sucralose,5,theta,0.5,4.5512357723755543e-10
P001,S2_7,Sucralose,7,theta,0.5,4.095602613196541e-10
P001,H2O,Water,0,theta,0.5,3.01813153519878e-10
P001,S2_12,Sucralose,12,theta,0.5,4.5172492298414475e-10
P001,S1_12,Sucrose,12,theta,0.5,3.1393649907820686e-10
P001,S1_5,Sucrose,5,theta,0.5,5.837078184401908e-10
P001,S1_7,Sucrose,7,theta,0.5,3.449008744690693e-10
P001,S1_5,Sucrose,5,alpha,0.5,1.2409845016543851e-10
P001,S1_7,Sucrose,7,alpha,0.5,1.2802401959092055e-10
P001,H2O,Water,0,alpha,0.5,1.3319450459963395e-10
P001,S1_12,Sucrose,12,alpha,0.5,3.39243141014113e-11
P001,S2_12,Sucralose,12,alpha,0.5,3.095155500663848e-10
P001,S2_5,Sucralose,5,alpha,0.5,2.0272095496322845e-10
P001,S2_7,Sucralose,7,alpha,0.5,4.800438491404149e-10
P001,S2_5,Sucralose,5,alpha,0.5,1.7137406155417985e-10
P001,S2_7,Sucralose,7,alpha,0.5,2.6534534663618803e-10
P001,H2O,Water,0,alpha,0.5,2.552880451428412e-10
