subject,ma_mau,substance,intensity,band,t_center,power
P001,S1_5,Sucrose,5,delta,0.5,6.427661727101193e-10
P001,S1_7,Sucrose,7,delta,0.5,6.751395576728182e-10
P001,H2O,Water,0,delta,0.5,1.0198514090609422e-09
P001,S1_12,Sucrose,12,delta,0.5,4.596362332127106e-10
P001,S2_12,Sucralose,12,delta,0.5,4.3962503468892025e-09
P001,S2_5,Sucralose,5,delta,0.5,8.71221417970789e-10
P001,S2_7,Sucralose,7,delta,0.5,1.244330899580726e-09
P001,S2_5,Sucralose,5,delta,0.5,4.341328970992864e-09
P001,S2_7,Sucralose,7,delta,0.5,2.961657544770619e-09
P001,H2O,Water,0,delta,0.5,1.5300035747198236e-09
P001,S2_12,Sucralose,12,delta,0.5,1.1799146819914147e-09
P001,S1_12,Sucrose,12,delta,0.5,1.483621352770916e-09
P001,S1_5,Sucrose,5,delta,0.5,1.9747923079562796e-09
P001,S1_7,Sucrose,7,delta,0.5,1.5274731604250252e-09
P001,S1_5,Sucrose,5,theta,0.5,2.462925883188493e-10
P001,S1_7,Sucrose,7,theta,0.5,3.167622568341668e-10
P001,H2O,Water,0,theta,0.5,3.5273018415207636e-10
P001,S1_12,Sucrose,12,theta,0.5,1.3571292835152392e-10
P001,S2_12,Sucralose,12,theta,0.5,1.091292442173173e-09
P001,S2_5,Sucralose,5,theta,0.5,4.890747907467802e-10
P001,S2_7,Sucralose,7,theta,0.5,8.604360949303155e-10
P001,S2_5,Sucralose,5,theta,0.5,4.4720878632468474e-10
P001,S2_7,Sucralose,7,theta,0.5,5.91555872932358e-10
P001,H2O,Water,0,theta,0.5,5.680250061472362e-10
P001,S2_12,Sucralose,12,theta,0.5,5.592351456077705e-10
P001,S1_12,Sucrose,12,theta,0.5,1.0793488799023257e-09
P001,S1_5,Sucrose,5,theta,0.5,9.108597561412932e-10
P001,S1_7,Sucrose,7,theta,0.5,6.298825729279246e-10
P001,S1_5,Sucrose,5,alpha,0.5,1.722699758175464e-10
P001,S1_7,Sucrose,7,alpha,0.5,1.4092930002097974e-10
P001,H2O,Water,0,alpha,0.5,1.5278676508263243e-10
P001,S1_12,Sucrose,12,alpha,0.5,1.8325219463646446e-10
P001,S2_12,Sucralose,12,alpha,0.5,7.16077409305646e-10
P001,S2_5,Sucralose,5,alpha,0.5,7.012129041485696e-10
P001,S2_7,Sucralose,7,alpha,0.5,3.124097620817075e-10
P001,S2_5,Sucralose,5,alpha,0.5,1.4425837379047304e-10
P001,S2_7,Sucralose,7,alpha,0.5,2.7263123681666253e-10
P001,H2O,Water,0,alpha,0.5,3.723889595620758e-10
P001,S2_12,Sucralose,12,alpha,0.5,2.5991279420149037e-10
P001,S1_12,Sucrose,12,alpha,0.5,5.421547716183742e-10
P001,S1_5,Sucrose,5,alpha,0.5,2.770422071651178e-10
P001,S1_7,Sucrose,7,alpha,0.5,6.258111414715768e-10
P001,S1_5,Sucrose,5,beta,0.5,4.867302678312898e-10
P001,S1_7,Sucrose,7,beta,0.5,7.957318385227169e-10
P001,H2O,Water,0,beta,0.5,8.302258736761322e-10
P001,S1_12,Sucrose,12,beta,0.5,2.5869585359757425e-10
P001,S2_12,Sucralose,12,beta,0.5,1.5592016880027673e-09
P001,S2_5,Sucralose,5,beta,0.5,1.187974858795232e-09
P001,S2_7,Sucralose,7,beta,0.5,1.2511743322150238e-09
P001,S2_5,Sucralose,5,beta,0.5,7.067400420986083e-10
P001,S2_7,Sucralose,7,beta,0.5,1.3784021925240134e-09
P001,H2O,Water,0,beta,0.5,1.7427172037621881e-09
P001,S2_12,Sucralose,12,beta,0.5,1.0118626293161644e-09
P001,S1_12,Sucrose,12,beta,0.5,9.19392961715767e-10
P001,S1_5,Sucrose,5,beta,0.5,1.2452135849290943e-09
P001,S1_7,Sucrose,7,beta,0.5,9.121602838776978e-10
P001,S1_5,Sucrose,5,gamma,0.5,1.2026349523575538e-09
P001,S1_7,Sucrose,7,gamma,0.5,7.46952548267695e-10
P001,H2O,Water,0,gamma,0.5,5.909527236414788e-10
P001,S1_12,Sucrose,12,gamma,0.5,3.8012984599278635e-10
P001,S2_12,Sucralose,12,gamma,0.5,1.4510963522569513e-09
P001,S2_5,Sucralose,5,gamma,0.5,1.7496616618589742e-09
P001,S2_7,Sucralose,7,gamma,0.5,8.312797797682489e-10
P001,S2_5,Sucralose,5,gamma,0.5,5.614141057439834e-10
P001,S2_7,Sucralose,7,gamma,0.5,1.1011097831746183e-09
P001,H2O,Water,0,gamma,0.5,1.6300043666023165e-09
P001,S2_12,Sucralose,12,gamma,0.5,1.255442892544763e-09
P001,S1_12,Sucrose,12,gamma,0.5,1.3558588151666017e-09
